id,code,description
15745,M24.221,Disorder of ligament and right elbow
15746,M24.222,Disorder of ligament and left elbow
15747,M24.229,Disorder of ligament and unspecified elbow
15748,M24.23,Disorder of ligament and wrist
15749,M24.231,Disorder of ligament and right wrist
15750,M24.232,Disorder of ligament and left wrist
15751,M24.239,Disorder of ligament and unspecified wrist
15752,M24.24,Disorder of ligament and hand
15753,M24.241,Disorder of ligament and right hand
15754,M24.242,Disorder of ligament and left hand
15755,M24.249,Disorder of ligament and unspecified hand
15756,M24.25,Disorder of ligament and hip
15757,M24.251,Disorder of ligament and right hip
15758,M24.252,Disorder of ligament and left hip
15759,M24.259,Disorder of ligament and unspecified hip
15760,M24.27,Disorder of ligament and ankle and foot
15761,M24.271,Disorder of ligament and right ankle
15762,M24.272,Disorder of ligament and left ankle
15763,M24.273,Disorder of ligament and unspecified ankle
15764,M24.274,Disorder of ligament and right foot
15765,M24.275,Disorder of ligament and left foot
15766,M24.276,Disorder of ligament and unspecified foot
15767,M24.28,Disorder of ligament and vertebrae
15768,M24.3,Pathological dislocation of joint and not elsewhere classified
15769,M24.30,Pathological dislocation of unspecified joint and not elsewhere classified
15770,M24.31,Pathological dislocation of shoulder and not elsewhere classified
15771,M24.311,Pathological dislocation of right shoulder and not elsewhere classified
15772,M24.312,Pathological dislocation of left shoulder and not elsewhere classified
15773,M24.319,Pathological dislocation of unspecified shoulder and not elsewhere classified
15774,M24.32,Pathological dislocation of elbow and not elsewhere classified
15775,M24.321,Pathological dislocation of right elbow and not elsewhere classified
15776,M24.322,Pathological dislocation of left elbow and not elsewhere classified
15777,M24.329,Pathological dislocation of unspecified elbow and not elsewhere classified
15778,M24.33,Pathological dislocation of wrist and not elsewhere classified
15779,M24.331,Pathological dislocation of right wrist and not elsewhere classified
15780,M24.332,Pathological dislocation of left wrist and not elsewhere classified
15781,M24.339,Pathological dislocation of unspecified wrist and not elsewhere classified
15782,M24.34,Pathological dislocation of hand and not elsewhere classified
15783,M24.341,Pathological dislocation of right hand and not elsewhere classified
15784,M24.342,Pathological dislocation of left hand and not elsewhere classified
15785,M24.349,Pathological dislocation of unspecified hand and not elsewhere classified
15786,M24.35,Pathological dislocation of hip and not elsewhere classified
15787,M24.351,Pathological dislocation of right hip and not elsewhere classified
15788,M24.352,Pathological dislocation of left hip and not elsewhere classified
15789,M24.359,Pathological dislocation of unspecified hip and not elsewhere classified
15790,M24.36,Pathological dislocation of knee and not elsewhere classified
15791,M24.361,Pathological dislocation of right knee and not elsewhere classified
15792,M24.362,Pathological dislocation of left knee and not elsewhere classified
15793,M24.369,Pathological dislocation of unspecified knee and not elsewhere classified
15794,M24.37,Pathological dislocation of ankle and foot and not elsewhere classified
15795,M24.371,Pathological dislocation of right ankle and not elsewhere classified
15796,M24.372,Pathological dislocation of left ankle and not elsewhere classified
15797,M24.373,Pathological dislocation of unspecified ankle and not elsewhere classified
15798,M24.374,Pathological dislocation of right foot and not elsewhere classified
15799,M24.375,Pathological dislocation of left foot and not elsewhere classified
15800,M24.376,Pathological dislocation of unspecified foot and not elsewhere classified
15801,M24.4,Recurrent dislocation of joint
15802,M24.40,Recurrent dislocation and unspecified joint
15803,M24.41,Recurrent dislocation and shoulder
15804,M24.411,Recurrent dislocation and right shoulder
15805,M24.412,Recurrent dislocation and left shoulder
15806,M24.419,Recurrent dislocation and unspecified shoulder
15807,M24.42,Recurrent dislocation and elbow
15808,M24.421,Recurrent dislocation and right elbow
15809,M24.422,Recurrent dislocation and left elbow
15810,M24.429,Recurrent dislocation and unspecified elbow
15811,M24.43,Recurrent dislocation and wrist
15812,M24.431,Recurrent dislocation and right wrist
15813,M24.432,Recurrent dislocation and left wrist
15814,M24.439,Recurrent dislocation and unspecified wrist
15815,M24.44,Recurrent dislocation and hand and finger(s)
15816,M24.441,Recurrent dislocation and right hand
15817,M24.442,Recurrent dislocation and left hand
15818,M24.443,Recurrent dislocation and unspecified hand
15819,M24.444,Recurrent dislocation and right finger
15820,M24.445,Recurrent dislocation and left finger
15821,M24.446,Recurrent dislocation and unspecified finger
15822,M24.45,Recurrent dislocation and hip
15823,M24.451,Recurrent dislocation and right hip
15824,M24.452,Recurrent dislocation and left hip
15825,M24.459,Recurrent dislocation and unspecified hip
15826,M24.46,Recurrent dislocation and knee
15827,M24.461,Recurrent dislocation and right knee
15828,M24.462,Recurrent dislocation and left knee
15829,M24.469,Recurrent dislocation and unspecified knee
15830,M24.47,Recurrent dislocation and ankle and foot and toes
15831,M24.471,Recurrent dislocation and right ankle
15832,M24.472,Recurrent dislocation and left ankle
15833,M24.473,Recurrent dislocation and unspecified ankle
15834,M24.474,Recurrent dislocation and right foot
15835,M24.475,Recurrent dislocation and left foot
15836,M24.476,Recurrent dislocation and unspecified foot
15837,M24.477,Recurrent dislocation and right toe(s)
15838,M24.478,Recurrent dislocation and left toe(s)
15839,M24.479,Recurrent dislocation and unspecified toe(s)
15840,M24.5,Contracture of joint
15841,M24.50,Contracture and unspecified joint
15842,M24.51,Contracture and shoulder
15843,M24.511,Contracture and right shoulder
15844,M24.512,Contracture and left shoulder
15845,M24.519,Contracture and unspecified shoulder
15846,M24.52,Contracture and elbow
15847,M24.521,Contracture and right elbow
15848,M24.522,Contracture and left elbow
15849,M24.529,Contracture and unspecified elbow
15850,M24.53,Contracture and wrist
15851,M24.531,Contracture and right wrist
15852,M24.532,Contracture and left wrist
15853,M24.539,Contracture and unspecified wrist
15854,M24.54,Contracture and hand
15855,M24.541,Contracture and right hand
15856,M24.542,Contracture and left hand
15857,M24.549,Contracture and unspecified hand
15858,M24.55,Contracture and hip
15859,M24.551,Contracture and right hip
15860,M24.552,Contracture and left hip
15861,M24.559,Contracture and unspecified hip
15862,M24.56,Contracture and knee
15863,M24.561,Contracture and right knee
15864,M24.562,Contracture and left knee
15865,M24.569,Contracture and unspecified knee
15866,M24.57,Contracture and ankle and foot
15867,M24.571,Contracture and right ankle
15868,M24.572,Contracture and left ankle
15869,M24.573,Contracture and unspecified ankle
15870,M24.574,Contracture and right foot
15871,M24.575,Contracture and left foot
15872,M24.576,Contracture and unspecified foot
15873,M24.6,Ankylosis of joint
15874,M24.60,Ankylosis and unspecified joint
15875,M24.61,Ankylosis and shoulder
15876,M24.611,Ankylosis and right shoulder
15877,M24.612,Ankylosis and left shoulder
15878,M24.619,Ankylosis and unspecified shoulder
15879,M24.62,Ankylosis and elbow
15880,M24.621,Ankylosis and right elbow
15881,M24.622,Ankylosis and left elbow
15882,M24.629,Ankylosis and unspecified elbow
15883,M24.63,Ankylosis and wrist
15884,M24.631,Ankylosis and right wrist
15885,M24.632,Ankylosis and left wrist
15886,M24.639,Ankylosis and unspecified wrist
15887,M24.64,Ankylosis and hand
15888,M24.641,Ankylosis and right hand
15889,M24.642,Ankylosis and left hand
15890,M24.649,Ankylosis and unspecified hand
15891,M24.65,Ankylosis and hip
15892,M24.651,Ankylosis and right hip
15893,M24.652,Ankylosis and left hip
15894,M24.659,Ankylosis and unspecified hip
15895,M24.66,Ankylosis and knee
15896,M24.661,Ankylosis and right knee
15897,M24.662,Ankylosis and left knee
15898,M24.669,Ankylosis and unspecified knee
15899,M24.67,Ankylosis and ankle and foot
15900,M24.671,Ankylosis and right ankle
15901,M24.672,Ankylosis and left ankle
15902,M24.673,Ankylosis and unspecified ankle
15903,M24.674,Ankylosis and right foot
15904,M24.675,Ankylosis and left foot
15905,M24.676,Ankylosis and unspecified foot
15906,M24.7,Protrusio acetabuli
15907,M24.8,Other specific joint derangements and not elsewhere classified
15908,M24.80,Other specific joint derangements of unspecified joint and not elsewhere classified
15909,M24.81,Other specific joint derangements of shoulder and not elsewhere classified
15910,M24.811,Other specific joint derangements of right shoulder and not elsewhere classified
15911,M24.812,Other specific joint derangements of left shoulder and not elsewhere classified
15912,M24.819,Other specific joint derangements of unspecified shoulder and not elsewhere classified
15913,M24.82,Other specific joint derangements of elbow and not elsewhere classified
15914,M24.821,Other specific joint derangements of right elbow and not elsewhere classified
15915,M24.822,Other specific joint derangements of left elbow and not elsewhere classified
15916,M24.829,Other specific joint derangements of unspecified elbow and not elsewhere classified
15917,M24.83,Other specific joint derangements of wrist and not elsewhere classified
15918,M24.831,Other specific joint derangements of right wrist and not elsewhere classified
15919,M24.832,Other specific joint derangements of left wrist and not elsewhere classified
15920,M24.839,Other specific joint derangements of unspecified wrist and not elsewhere classified
15921,M24.84,Other specific joint derangements of hand and not elsewhere classified
15922,M24.841,Other specific joint derangements of right hand and not elsewhere classified
15923,M24.842,Other specific joint derangements of left hand and not elsewhere classified
15924,M24.849,Other specific joint derangements of unspecified hand and not elsewhere classified
15925,M24.85,Other specific joint derangements of hip and not elsewhere classified
15926,M24.851,Other specific joint derangements of right hip and not elsewhere classified
15927,M24.852,Other specific joint derangements of left hip and not elsewhere classified
15928,M24.859,Other specific joint derangements of unspecified hip and not elsewhere classified
15929,M24.87,Other specific joint derangements of ankle and foot and not elsewhere classified
15930,M24.871,Other specific joint derangements of right ankle and not elsewhere classified
15931,M24.872,Other specific joint derangements of left ankle and not elsewhere classified
15932,M24.873,Other specific joint derangements of unspecified ankle and not elsewhere classified
15933,M24.874,Other specific joint derangements of right foot and not elsewhere classified
15934,M24.875,Other specific joint derangements left foot and not elsewhere classified
15935,M24.876,Other specific joint derangements of unspecified foot and not elsewhere classified
15936,M24.9,Joint derangement and unspecified
15937,M25,Other joint disorder and not elsewhere classified
15938,M25.0,Hemarthrosis
15939,M25.00,Hemarthrosis and unspecified joint
15940,M25.01,Hemarthrosis and shoulder
15941,M25.011,Hemarthrosis and right shoulder
15942,M25.012,Hemarthrosis and left shoulder
15943,M25.019,Hemarthrosis and unspecified shoulder
15944,M25.02,Hemarthrosis and elbow
15945,M25.021,Hemarthrosis and right elbow
15946,M25.022,Hemarthrosis and left elbow
15947,M25.029,Hemarthrosis and unspecified elbow
15948,M25.03,Hemarthrosis and wrist
15949,M25.031,Hemarthrosis and right wrist
15950,M25.032,Hemarthrosis and left wrist
15951,M25.039,Hemarthrosis and unspecified wrist
15952,M25.04,Hemarthrosis and hand
15953,M25.041,Hemarthrosis and right hand
15954,M25.042,Hemarthrosis and left hand
15955,M25.049,Hemarthrosis and unspecified hand
15956,M25.05,Hemarthrosis and hip
15957,M25.051,Hemarthrosis and right hip
15958,M25.052,Hemarthrosis and left hip
15959,M25.059,Hemarthrosis and unspecified hip
15960,M25.06,Hemarthrosis and knee
15961,M25.061,Hemarthrosis and right knee
15962,M25.062,Hemarthrosis and left knee
15963,M25.069,Hemarthrosis and unspecified knee
15964,M25.07,Hemarthrosis and ankle and foot
15965,M25.071,Hemarthrosis and right ankle
15966,M25.072,Hemarthrosis and left ankle
15967,M25.073,Hemarthrosis and unspecified ankle
15968,M25.074,Hemarthrosis and right foot
15969,M25.075,Hemarthrosis and left foot
15970,M25.076,Hemarthrosis and unspecified foot
15971,M25.08,Hemarthrosis and other specified site
15972,M25.1,Fistula of joint
15973,M25.10,Fistula and unspecified joint
15974,M25.11,Fistula and shoulder
15975,M25.111,Fistula and right shoulder
15976,M25.112,Fistula and left shoulder
15977,M25.119,Fistula and unspecified shoulder
15978,M25.12,Fistula and elbow
15979,M25.121,Fistula and right elbow
15980,M25.122,Fistula and left elbow
15981,M25.129,Fistula and unspecified elbow
15982,M25.13,Fistula and wrist
15983,M25.131,Fistula and right wrist
15984,M25.132,Fistula and left wrist
15985,M25.139,Fistula and unspecified wrist
15986,M25.14,Fistula and hand
15987,M25.141,Fistula and right hand
15988,M25.142,Fistula and left hand
15989,M25.149,Fistula and unspecified hand
15990,M25.15,Fistula and hip
15991,M25.151,Fistula and right hip
15992,M25.152,Fistula and left hip
15993,M25.159,Fistula and unspecified hip
15994,M25.16,Fistula and knee
15995,M25.161,Fistula and right knee
15996,M25.162,Fistula and left knee
15997,M25.169,Fistula and unspecified knee
15998,M25.17,Fistula and ankle and foot
15999,M25.171,Fistula and right ankle
16000,M25.172,Fistula and left ankle
16001,M25.173,Fistula and unspecified ankle
16002,M25.174,Fistula and right foot
16003,M25.175,Fistula and left foot
16004,M25.176,Fistula and unspecified foot
16005,M25.18,Fistula and other specified site
16006,M25.2,Flail joint
16007,M25.20,Flail joint and unspecified joint
16008,M25.21,Flail joint and shoulder
16009,M25.211,Flail joint and right shoulder
16010,M25.212,Flail joint and left shoulder
16011,M25.219,Flail joint and unspecified shoulder
16012,M25.22,Flail joint and elbow
16013,M25.221,Flail joint and right elbow
16014,M25.222,Flail joint and left elbow
16015,M25.229,Flail joint and unspecified elbow
16016,M25.23,Flail joint and wrist
16017,M25.231,Flail joint and right wrist
16018,M25.232,Flail joint and left wrist
16019,M25.239,Flail joint and unspecified wrist
16020,M25.24,Flail joint and hand
16021,M25.241,Flail joint and right hand
16022,M25.242,Flail joint and left hand
16023,M25.249,Flail joint and unspecified hand
16024,M25.25,Flail joint and hip
16025,M25.251,Flail joint and right hip
16026,M25.252,Flail joint and left hip
16027,M25.259,Flail joint and unspecified hip
16028,M25.26,Flail joint and knee
16029,M25.261,Flail joint and right knee
16030,M25.262,Flail joint and left knee
16031,M25.269,Flail joint and unspecified knee
16032,M25.27,Flail joint and ankle and foot
16033,M25.271,Flail joint and right ankle and foot
16034,M25.272,Flail joint and left ankle and foot
16035,M25.279,Flail joint and unspecified ankle and foot
16036,M25.28,Flail joint and other site
16037,M25.3,Other instability of joint
16038,M25.30,Other instability and unspecified joint
16039,M25.31,Other instability and shoulder
16040,M25.311,Other instability and right shoulder
16041,M25.312,Other instability and left shoulder
16042,M25.319,Other instability and unspecified shoulder
16043,M25.32,Other instability and elbow
16044,M25.321,Other instability and right elbow
16045,M25.322,Other instability and left elbow
16046,M25.329,Other instability and unspecified elbow
16047,M25.33,Other instability and wrist
16048,M25.331,Other instability and right wrist
16049,M25.332,Other instability and left wrist
16050,M25.339,Other instability and unspecified wrist
16051,M25.34,Other instability and hand
16052,M25.341,Other instability and right hand
16053,M25.342,Other instability and left hand
16054,M25.349,Other instability and unspecified hand
16055,M25.35,Other instability and hip
16056,M25.351,Other instability and right hip
16057,M25.352,Other instability and left hip
16058,M25.359,Other instability and unspecified hip
16059,M25.36,Other instability and knee
16060,M25.361,Other instability and right knee
16061,M25.362,Other instability and left knee
16062,M25.369,Other instability and unspecified knee
16063,M25.37,Other instability and ankle and foot
16064,M25.371,Other instability and right ankle
16065,M25.372,Other instability and left ankle
16066,M25.373,Other instability and unspecified ankle
16067,M25.374,Other instability and right foot
16068,M25.375,Other instability and left foot
16069,M25.376,Other instability and unspecified foot
16070,M25.4,Effusion of joint
16071,M25.40,Effusion and unspecified joint
16072,M25.41,Effusion and shoulder
16073,M25.411,Effusion and right shoulder
16074,M25.412,Effusion and left shoulder
16075,M25.419,Effusion and unspecified shoulder
16076,M25.42,Effusion and elbow
16077,M25.421,Effusion and right elbow
16078,M25.422,Effusion and left elbow
16079,M25.429,Effusion and unspecified elbow
16080,M25.43,Effusion and wrist
16081,M25.431,Effusion and right wrist
16082,M25.432,Effusion and left wrist
16083,M25.439,Effusion and unspecified wrist
16084,M25.44,Effusion and hand
16085,M25.441,Effusion and right hand
16086,M25.442,Effusion and left hand
16087,M25.449,Effusion and unspecified hand
16088,M25.45,Effusion and hip
16089,M25.451,Effusion and right hip
16090,M25.452,Effusion and left hip
16091,M25.459,Effusion and unspecified hip
16092,M25.46,Effusion and knee
16093,M25.461,Effusion and right knee
16094,M25.462,Effusion and left knee
16095,M25.469,Effusion and unspecified knee
16096,M25.47,Effusion and ankle and foot
16097,M25.471,Effusion and right ankle
16098,M25.472,Effusion and left ankle
16099,M25.473,Effusion and unspecified ankle
16100,M25.474,Effusion and right foot
16101,M25.475,Effusion and left foot
16102,M25.476,Effusion and unspecified foot
16103,M25.48,Effusion and other site
16104,M25.5,Pain in joint
16105,M25.50,Pain in unspecified joint
16106,M25.51,Pain in shoulder
16107,M25.511,Pain in right shoulder
16108,M25.512,Pain in left shoulder
16109,M25.519,Pain in unspecified shoulder
16110,M25.52,Pain in elbow
16111,M25.521,Pain in right elbow
16112,M25.522,Pain in left elbow
16113,M25.529,Pain in unspecified elbow
16114,M25.53,Pain in wrist
16115,M25.531,Pain in right wrist
16116,M25.532,Pain in left wrist
16117,M25.539,Pain in unspecified wrist
16118,M25.54,Pain in joints of hand
16119,M25.541,Pain in joints of right hand
16120,M25.542,Pain in joints of left hand
16121,M25.549,Pain in joints of unspecified hand
16122,M25.55,Pain in hip
16123,M25.551,Pain in right hip
16124,M25.552,Pain in left hip
16125,M25.559,Pain in unspecified hip
16126,M25.56,Pain in knee
16127,M25.561,Pain in right knee
16128,M25.562,Pain in left knee
16129,M25.569,Pain in unspecified knee
16130,M25.57,Pain in ankle and joints of foot
16131,M25.571,Pain in right ankle and joints of right foot
16132,M25.572,Pain in left ankle and joints of left foot
16133,M25.579,Pain in unspecified ankle and joints of unspecified foot
16134,M25.6,Stiffness of joint and not elsewhere classified
16135,M25.60,Stiffness of unspecified joint and not elsewhere classified
16136,M25.61,Stiffness of shoulder and not elsewhere classified
16137,M25.611,Stiffness of right shoulder and not elsewhere classified
16138,M25.612,Stiffness of left shoulder and not elsewhere classified
16139,M25.619,Stiffness of unspecified shoulder and not elsewhere classified
16140,M25.62,Stiffness of elbow and not elsewhere classified
16141,M25.621,Stiffness of right elbow and not elsewhere classified
16142,M25.622,Stiffness of left elbow and not elsewhere classified
16143,M25.629,Stiffness of unspecified elbow and not elsewhere classified
16144,M25.63,Stiffness of wrist and not elsewhere classified
16145,M25.631,Stiffness of right wrist and not elsewhere classified
16146,M25.632,Stiffness of left wrist and not elsewhere classified
16147,M25.639,Stiffness of unspecified wrist and not elsewhere classified
16148,M25.64,Stiffness of hand and not elsewhere classified
16149,M25.641,Stiffness of right hand and not elsewhere classified
16150,M25.642,Stiffness of left hand and not elsewhere classified
16151,M25.649,Stiffness of unspecified hand and not elsewhere classified
16152,M25.65,Stiffness of hip and not elsewhere classified
16153,M25.651,Stiffness of right hip and not elsewhere classified
16154,M25.652,Stiffness of left hip and not elsewhere classified
16155,M25.659,Stiffness of unspecified hip and not elsewhere classified
16156,M25.66,Stiffness of knee and not elsewhere classified
16157,M25.661,Stiffness of right knee and not elsewhere classified
16158,M25.662,Stiffness of left knee and not elsewhere classified
16159,M25.669,Stiffness of unspecified knee and not elsewhere classified
16160,M25.67,Stiffness of ankle and foot and not elsewhere classified
16161,M25.671,Stiffness of right ankle and not elsewhere classified
16162,M25.672,Stiffness of left ankle and not elsewhere classified
16163,M25.673,Stiffness of unspecified ankle and not elsewhere classified
16164,M25.674,Stiffness of right foot and not elsewhere classified
16165,M25.675,Stiffness of left foot and not elsewhere classified
16166,M25.676,Stiffness of unspecified foot and not elsewhere classified
16167,M25.7,Osteophyte
16168,M25.70,Osteophyte and unspecified joint
16169,M25.71,Osteophyte and shoulder
16170,M25.711,Osteophyte and right shoulder
16171,M25.712,Osteophyte and left shoulder
16172,M25.719,Osteophyte and unspecified shoulder
16173,M25.72,Osteophyte and elbow
16174,M25.721,Osteophyte and right elbow
16175,M25.722,Osteophyte and left elbow
16176,M25.729,Osteophyte and unspecified elbow
16177,M25.73,Osteophyte and wrist
16178,M25.731,Osteophyte and right wrist
16179,M25.732,Osteophyte and left wrist
16180,M25.739,Osteophyte and unspecified wrist
16181,M25.74,Osteophyte and hand
16182,M25.741,Osteophyte and right hand
16183,M25.742,Osteophyte and left hand
16184,M25.749,Osteophyte and unspecified hand
16185,M25.75,Osteophyte and hip
16186,M25.751,Osteophyte and right hip
16187,M25.752,Osteophyte and left hip
16188,M25.759,Osteophyte and unspecified hip
16189,M25.76,Osteophyte and knee
16190,M25.761,Osteophyte and right knee
16191,M25.762,Osteophyte and left knee
16192,M25.769,Osteophyte and unspecified knee
16193,M25.77,Osteophyte and ankle and foot
16194,M25.771,Osteophyte and right ankle
16195,M25.772,Osteophyte and left ankle
16196,M25.773,Osteophyte and unspecified ankle
16197,M25.774,Osteophyte and right foot
16198,M25.775,Osteophyte and left foot
16199,M25.776,Osteophyte and unspecified foot
16200,M25.78,Osteophyte and vertebrae
16201,M25.8,Other specified joint disorders
16202,M25.80,Other specified joint disorders and unspecified joint
16203,M25.81,Other specified joint disorders and shoulder
16204,M25.811,Other specified joint disorders and right shoulder
16205,M25.812,Other specified joint disorders and left shoulder
16206,M25.819,Other specified joint disorders and unspecified shoulder
16207,M25.82,Other specified joint disorders and elbow
16208,M25.821,Other specified joint disorders and right elbow
16209,M25.822,Other specified joint disorders and left elbow
16210,M25.829,Other specified joint disorders and unspecified elbow
16211,M25.83,Other specified joint disorders and wrist
16212,M25.831,Other specified joint disorders and right wrist
16213,M25.832,Other specified joint disorders and left wrist
16214,M25.839,Other specified joint disorders and unspecified wrist
16215,M25.84,Other specified joint disorders and hand
16216,M25.841,Other specified joint disorders and right hand
16217,M25.842,Other specified joint disorders and left hand
16218,M25.849,Other specified joint disorders and unspecified hand
16219,M25.85,Other specified joint disorders and hip
16220,M25.851,Other specified joint disorders and right hip
16221,M25.852,Other specified joint disorders and left hip
16222,M25.859,Other specified joint disorders and unspecified hip
16223,M25.86,Other specified joint disorders and knee
16224,M25.861,Other specified joint disorders and right knee
16225,M25.862,Other specified joint disorders and left knee
16226,M25.869,Other specified joint disorders and unspecified knee
16227,M25.87,Other specified joint disorders and ankle and foot
16228,M25.871,Other specified joint disorders and right ankle and foot
16229,M25.872,Other specified joint disorders and left ankle and foot
16230,M25.879,Other specified joint disorders and unspecified ankle and foot
16231,M25.9,Joint disorder and unspecified
16232,M26.0,Major anomalies of jaw size
16233,M26.00,Unspecified anomaly of jaw size
16234,M26.01,Maxillary hyperplasia
16235,M26.02,Maxillary hypoplasia
16236,M26.03,Mandibular hyperplasia
16237,M26.04,Mandibular hypoplasia
16238,M26.05,Macrogenia
16239,M26.06,Microgenia
16240,M26.07,Excessive tuberosity of jaw
16241,M26.09,Other specified anomalies of jaw size
16242,M26.1,Anomalies of jaw-cranial base relationship
16243,M26.10,Unspecified anomaly of jaw-cranial base relationship
16244,M26.11,Maxillary asymmetry
16245,M26.12,Other jaw asymmetry
16246,M26.19,Other specified anomalies of jaw-cranial base relationship
16247,M26.2,Anomalies of dental arch relationship
16248,M26.20,Unspecified anomaly of dental arch relationship
16249,M26.22,Open occlusal relationship
16250,M26.220,Open anterior occlusal relationship
16251,M26.221,Open posterior occlusal relationship
16252,M26.23,Excessive horizontal overlap
16253,M26.24,Reverse articulation
16254,M26.25,Anomalies of interarch distance
16255,M26.29,Other anomalies of dental arch relationship
16256,M26.3,Anomalies of tooth position of fully erupted tooth or teeth
16257,M26.30,Unspecified anomaly of tooth position of fully erupted tooth or teeth
16258,M26.31,Crowding of fully erupted teeth
16259,M26.32,Excessive spacing of fully erupted teeth
16260,M26.33,Horizontal displacement of fully erupted tooth or teeth
16261,M26.34,Vertical displacement of fully erupted tooth or teeth
16262,M26.35,Rotation of fully erupted tooth or teeth
16263,M26.36,Insufficient interocclusal distance of fully erupted teeth (ridge)
16264,M26.37,Excessive interocclusal distance of fully erupted teeth
16265,M26.39,Other anomalies of tooth position of fully erupted tooth or teeth
16266,M26.4,Malocclusion and unspecified
16267,M26.5,Dentofacial functional abnormalities
16268,M26.50,Dentofacial functional abnormalities and unspecified
16269,M26.51,Abnormal jaw closure
16270,M26.52,Limited mandibular range of motion
16271,M26.53,Deviation in opening and closing of the mandible
16272,M26.54,Insufficient anterior guidance
16273,M26.55,Centric occlusion maximum intercuspation discrepancy
16274,M26.56,Non-working side interference
16275,M26.57,Lack of posterior occlusal support
16276,M26.59,Other dentofacial functional abnormalities
16277,M26.6,Temporomandibular joint disorders
16278,M26.60,Temporomandibular joint disorder and unspecified
16279,M26.601,Right temporomandibular joint disorder and unspecified
16280,M26.602,Left temporomandibular joint disorder and unspecified
16281,M26.603,Bilateral temporomandibular joint disorder and unspecified
16282,M26.609,Unspecified temporomandibular joint disorder and unspecified side
16283,M26.61,Adhesions and ankylosis of temporomandibular joint
16284,M26.611,Adhesions and ankylosis of right temporomandibular joint
16285,M26.612,Adhesions and ankylosis of left temporomandibular joint
16286,M26.613,Adhesions and ankylosis of bilateral temporomandibular joint
16287,M26.619,Adhesions and ankylosis of temporomandibular joint and unspecified side
16288,M26.62,Arthralgia of temporomandibular joint
16289,M26.621,Arthralgia of right temporomandibular joint
16290,M26.622,Arthralgia of left temporomandibular joint
16291,M26.623,Arthralgia of bilateral temporomandibular joint
16292,M26.629,Arthralgia of temporomandibular joint and unspecified side
16293,M26.63,Articular disc disorder of temporomandibular joint
16294,M26.631,Articular disc disorder of right temporomandibular joint
16295,M26.632,Articular disc disorder of left temporomandibular joint
16296,M26.633,Articular disc disorder of bilateral temporomandibular joint
16297,M26.639,Articular disc disorder of temporomandibular joint and unspecified side
16298,M26.69,Other specified disorders of temporomandibular joint
16299,M26.7,Dental alveolar anomalies
16300,M26.70,Unspecified alveolar anomaly
16301,M26.71,Alveolar maxillary hyperplasia
16302,M26.72,Alveolar mandibular hyperplasia
16303,M26.73,Alveolar maxillary hypoplasia
16304,M26.74,Alveolar mandibular hypoplasia
16305,M26.79,Other specified alveolar anomalies
16306,M26.8,Other dentofacial anomalies
16307,M26.81,Anterior soft tissue impingement
16308,M26.82,Posterior soft tissue impingement
16309,M26.89,Other dentofacial anomalies
16310,M26.9,Dentofacial anomaly and unspecified
16311,M27,Other diseases of jaws
16312,M27.0,Developmental disorders of jaws
16313,M27.1,Giant cell granuloma and central
16314,M27.2,Inflammatory conditions of jaws
16315,M27.3,Alveolitis of jaws
16316,M27.4,Other and unspecified cysts of jaw
16317,M27.40,Unspecified cyst of jaw
16318,M27.49,Other cysts of jaw
16319,M27.5,Periradicular pathology associated with previous endodontic treatment
16320,M27.51,Perforation of root canal space due to endodontic treatment
16321,M27.52,Endodontic overfill
16322,M27.53,Endodontic underfill
16323,M27.59,Other periradicular pathology associated with previous endodontic treatment
16324,M27.6,Endosseous dental implant failure
16325,M27.61,Osseointegration failure of dental implant
16326,M27.62,Post-osseointegration biological failure of dental implant
16327,M27.63,Post-osseointegration mechanical failure of dental implant
16328,M27.69,Other endosseous dental implant failure
16329,M27.8,Other specified diseases of jaws
16330,M27.9,Disease of jaws and unspecified
16331,M30,Polyarteritis nodosa and related conditions
16332,M30.0,Polyarteritis nodosa
16333,M30.2,Juvenile polyarteritis
16334,M30.8,Other conditions related to polyarteritis nodosa
16335,M31,Other necrotizing vasculopathies
16336,M31.0,Hypersensitivity angiitis
16337,M31.1,Thrombotic microangiopathy
16338,M31.2,Lethal midline granuloma
16339,M31.5,Giant cell arteritis with polymyalgia rheumatica
16340,M31.6,Other giant cell arteritis
16341,M31.7,Microscopic polyangiitis
16342,M31.8,Other specified necrotizing vasculopathies
16343,M31.9,Necrotizing vasculopathy and unspecified
16344,M32,Systemic lupus erythematosus (SLE)
16345,M32.0,Drug-induced systemic lupus erythematosus
16346,M32.1,Systemic lupus erythematosus with organ or system involvement
16347,M32.10,Systemic lupus erythematosus and organ or system involvement unspecified
16348,M32.11,Endocarditis in systemic lupus erythematosus
16349,M32.12,Pericarditis in systemic lupus erythematosus
16350,M32.13,Lung involvement in systemic lupus erythematosus
16351,M32.14,Glomerular disease in systemic lupus erythematosus
16352,M32.15,Tubulo-interstitial nephropathy in systemic lupus erythematosus
16353,M32.19,Other organ or system involvement in systemic lupus erythematosus
16354,M32.8,Other forms of systemic lupus erythematosus
16355,M32.9,Systemic lupus erythematosus and unspecified
16356,M33,Dermatopolymyositis
16357,M33.0,Juvenile dermatopolymyositis
16358,M33.00,Juvenile dermatopolymyositis and organ involvement unspecified
16359,M33.01,Juvenile dermatopolymyositis with respiratory involvement
16360,M33.02,Juvenile dermatopolymyositis with myopathy
16361,M33.09,Juvenile dermatopolymyositis with other organ involvement
