ID,CODE,DESCRIPTION,
10186,65325-3,Ku Ab [Presence] in Serum or Plasma,
10187,25572-9,C peptide [Moles/volume] in Serum or Plasma --14th specimen post XXX challenge,
10188,73765-0,Planned to deliver at home [US Standard Certificate of Live Birth],
10189,35697-2,La Crosse virus Ab [Titer] in Serum by Complement fixation,
10190,21433-8,Orange Tree IgE Ab RAST class [Presence] in Serum,
10191,60313-4,Maprotiline [Moles/volume] in Unspecified specimen,
10192,169-3,Cephradine [Susceptibility] by Minimum inhibitory concentration (MIC),
10193,50348-2,Parvovirus B19 DNA [Presence] in Blood by Probe and target amplification method,
10194,73680-1,Mycophenolate [Mass/volume] in Serum or Plasma --peak,
10195,68202-1,My friends ignored me in the past 7 days [NeuroQol.Peds],
10196,47576-4,Aspartate/Amino acids.total in Amniotic fluid,
10197,68716-0,Pain medicine Hospital Consult note,
10198,27369-8,Somatotropin [Mass/volume] in Serum or Plasma --2.5 hours post XXX challenge,
10199,49921-0,Lymphocyte proliferation stimulated by concanavalin A in Blood,
10200,46446-1,Record ID section Set NAACCR v.11,
10201,41107-4,FMR1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10202,45214-4,Isoleucine+Leucine [Moles/volume] in Dried blood spot,
10203,19977-8,Deprecated Maximum [Pressure] Trachea airway by Airway pressure monitor --at inspiration on ventilator,
10204,47111-0,Glutethimide [Moles/volume] in Urine,
10205,24395-6,Cortisol [Moles/volume] in Serum or Plasma --24 hours post 1 mg dexamethasone PO overnight,
10206,52913-1,Selenium [Moles/volume] in Red Blood Cells,
10207,74569-5,Action that prevented the near miss incident from reaching the patient [AHRQ],
10208,21342-1,HLA-DR locus 2 [Type],
10209,18799-7,Send the first (i.e. and/or oldest) result for each kind of observation in the time window,
10210,47468-4,Legionella pneumophila 14 IgM Ab [Titer] in Serum,
10211,54-7,Butirosin [Susceptibility] by Serum bactericidal titer,
10212,46522-9,Other diagnosis 5: severity rating [OASIS],
10213,21815-6,t(4;11)(q21.3;q23)(AFF1,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method,
10214,21555-8,Testosterone [Mass/volume] adjusted for sex hormone binding globulin in Serum or Plasma,
10215,9881-4,J point depression in lead II,
10216,71217-4,Emotional well-being and illness experience FACIT,
10217,6564-9,Trichomonas vaginalis [Presence] in Genital specimen by Complement fixation,
10218,13788-5,Oxalate/Creatinine [Mass Ratio] in 24 hour Urine,
10219,34760-9,Diabetology Consult note,
10220,49145-6,Rickettsia rickettsii IgG Ab [Titer] in Body fluid,
10221,5333-0,Rubella virus Ab [Titer] in Serum by Latex agglutination,
10222,25365-8,Carnosine [Moles/time] in 24 hour Urine,
10223,62998-0,PhenX - tinnitus protocol,
10224,1085-0,Js sup(b) Ab [Presence] in Serum or Plasma from Blood product unit,
10225,19008-2,Transducer site Narrative,
10226,68229-4,I had trouble starting things because I was too tired in the past 7 days [NeuroQol.Peds],
10227,43361-5,Cardiolipin IgA Ab [Mass/volume] in Serum,
10228,49506-9,MYOC gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10229,19974-5,Inspiration/Expiration setting Ventilator,
10230,40925-0,Streptococcus pneumoniae 9 IgG Ab [Mass/volume] in Serum by Immunoassay --2nd specimen,
10231,23787-5,Venezuelan equine encephalitis virus Ab [Titer] in Serum by Complement fixation,
10232,45457-9,Medicare per diem [Minimum Data Set],
10233,20346-3,Right atrial Diastolic filling period by US,
10234,46047-7,Ulcers Set,
10235,50643-6,Pregnanetriolone [Mass/time] in 24 hour Urine,
10236,33017-5,Parasites [#/area] in Urine sediment by Microscopy low power field,
10237,29025-4,Argon laser trabeculoplasty treatment comment Eye - right,
10238,59717-9,Nordiazepam [Mass/volume] in Blood by Confirmatory method,
10239,49878-2,Hepatitis B virus codon 180 [Identifier] by Genotype method,
10240,24206-5,Rickettsia typhi IgG Ab [Titer] in Serum by Immunofluorescence --2nd specimen,
10241,31980-6,Trypanosoma sp Ag [Presence] in Blood,
10242,20491-7,Epstein Barr virus capsid IgM Ab [Titer] in Serum,
10243,68026-4,I had difficulty falling asleep in the past 7 days [NeuroQol],
10244,47733-1,Proline/Amino acids.total in Hair,
10245,34569-4,Dilute Russell viper venom time (dRVVT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after 1:2 addition of normal plasma,
10246,38560-9,Spermatozoa.tail Motile w IgA/100 spermatozoa in Semen by Immunobead,
10247,54098-9,Isopropyl methylphosphonate [Mass/volume] in Urine,
10248,7074-8,Alternaria sp IgE Ab [Units/volume] in Serum,
10249,11871-1,Fetal Femur length/Abdominal circumference derived by US,
10250,16059-8,Trichoderma viride IgE Ab RAST class [Presence] in Serum,
10251,17698-2,Tetraethyl lead [Mass/volume] in Blood,
10252,68580-0,Orthopaedic surgery History and physical note,
10253,8806-2,Left ventricular Ejection fraction by 2D echo,
10254,25961-4,Nickel [Moles/volume] in 24 hour Urine,
10255,20545-0,Methylenedioxyamphetamine [Mass/volume] in Urine by Confirmatory method,
10256,58672-7,Cortisol [Moles/volume] in Serum or Plasma --45 minutes post 1 ug/kg CRH IV,
10257,64130-8,Diazepam/Creatinine [Mass Ratio] in Urine,
10258,4617-7,Hemoglobin O - Arab [Presence] in Blood by Electrophoresis acid (pH 6.3),
10259,51635-1,Reticulocytes.mature [#/volume] in Blood,
10260,5889-1,Protein S Free [Units/volume] in Platelet poor plasma by Coagulation assay,
10261,17296-5,Mycobacterium tuberculosis complex rRNA [Presence] in Unspecified specimen by DNA probe,
10262,47653-1,Insulin [Units/volume] in Serum or Plasma --10 minutes post dose glucagon,
10263,4074-1,Trifluoperazine [Mass/volume] in Serum or Plasma,
10264,54938-6,Ethyl benzene [Mass/volume] in Serum or Plasma,
10265,34986-0,Unidentified cells [#/volume] in Pericardial fluid,
10266,62577-2,Deprecated PhenX measure - oral health - breast or bottle feeding patterns,
10267,17739-4,Chloral hydrate [Presence] in Urine by Confirmatory method,
10268,75065-3,Benzoate [Moles/volume] in Serum or Plasma,
10269,11908-1,Gestational age estimated from Cerebellar diameter by method of Goldstein 1987 (US),
10270,6963-3,Yersinia enterocolitica Ab [Titer] in Serum,
10271,15816-2,Lilac IgE Ab RAST class [Presence] in Serum,
10272,54972-5,Pressure reducing device for chair provided in last 7 days [MDSv3],
10273,21210-0,Cockatiel droppings IgE Ab RAST class [Presence] in Serum,
10274,45323-3,Mycobacterium tuberculosis tuberculin stimulated gamma interferon [Presence] in Blood,
10275,28761-5,Accommodation width absolute Eye - left,
10276,22149-9,Brucella abortus Ab [Presence] in Whey,
10277,52206-0,Cardiac rehabilitation treatment plan and/or Current level of function (narrative),
10278,22761-1,Pristanate (C15:0(CH3)4) [Moles/volume] in Serum or Plasma,
10279,34580-1,Deprecated Blastomyces dermatitidis Ab [Presence] in Cerebral spinal fluid,
10280,59516-5,Flag for Date first Dx not poulated Cancer,
10281,33956-4,Cyclosporine.polyclonal [Mass/volume] in Blood,
10282,48120-0,Prolactin [Mass/volume] in Serum or Plasma --15 minutes pre dose TRH IV,
10283,56861-8,Emergency contact Name,
10284,5825-5,Adenovirus Ag [Presence] in Stool by Immunoassay,
10285,45544-4,Lifted mechanically [Minimum Data Set],
10286,67907-6,Neuro-Qol short form - lower extremity - version 1.0,
10287,14718-1,Estriol (E3) [Moles/time] in 24 hour Urine,
10288,69884-5,Service comment 57,
10289,4313-3,Mesoridazine [Mass] of Dose,
10290,27619-6,Occupational therapy treatment plan and/or Prognosis for rehabilitation,
10291,19000-9,Vancomycin [Susceptibility],
10292,51671-6,Brucella sp Ab [Titer] in Serum by Tube agglutination,
10293,42898-7,Cyclic citrullinated peptide IgG Ab [Presence] in Serum,
10294,51198-0,Manganese [Mass/volume] in Body fluid,
10295,49627-3,Muscle sarcolemma Ab [Titer] in Serum by Immunofluorescence,
10296,8987-0,Fluid intake 8 hour,
10297,13028-6,Xylose [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,
10298,74147-0,Muscular dystrophy action plan,
10299,48081-4,3,6-Epoxytetradecanedioate/Creatinine [Molar ratio] in Urine,
10300,34406-9,Exocrine pancreas Ab [Titer] in Serum by Immunofluorescence,
10301,4724-1,HLA-A26(10) [Presence] in donor,
10302,59806-0,Activated partial thromboplastin time (aPTT).lupus sensitive.factor substitution in Platelet poor plasma by Coagulation assay --2H post incubation with normal plasma,
10303,71170-5,When I try to do something and/or I usually believe I will do it well in the past 7 days [FACIT],
10304,16028-3,Spondylocladium citrovirens IgE Ab RAST class [Presence] in Serum,
10305,46964-3,Cryptococcus sp Ag [Presence] in Cerebral spinal fluid by Latex agglutination,
10306,48606-8,Glucose [Mass/volume] in Serum or Plasma --pre dose fructose PO,
10307,15381-7,Leishmania brasilensis IgM Ab [Titer] in Serum,
10308,32134-9,Adenovirus+Rotavirus [Identifier] in Stool,
10309,4307-5,Meperidine [Mass] of Dose,
10310,33135-5,Gestational age estimated from Thoracic circumference by method of Nimrod 1986 (US),
10311,13299-3,HLA-B [Type],
10312,1436-5,Cortisol [Mass/volume] in Serum or Plasma --8 hours post 30 mg/kg metyrapone PO,
10313,72893-1,Doripenem [Susceptibility] by Disk diffusion (KB),
10314,61446-1,Each time you ate macaroni and cheese and/or how much did you usually eat in the past 30 days [PhenX],
10315,43036-3,Feline herpesvirus Ab [Titer] in Serum,
10316,69425-7,Calcium [Mass/volume] in Semen,
10317,28411-7,Personal hygiene [QAM],
10318,5982-4,Plasminogen activator tissue type-Plasminogen activator inhibitor 1 complex [Mass/volume] in Platelet poor plasma by Immunologic method --20 minutes post venistasis,
10319,15117-5,Cadmium [Moles/volume] in Blood,
10320,59628-8,Clobazam [Mass/volume] in Body fluid,
10321,53059-2,Dodecenoylcarnitine (C12:1) [Moles/volume] in Amniotic fluid,
10322,9778-2,Phenelzine [Mass/volume] in Serum or Plasma,
10323,71599-5,Mesothelial cells/Leukocytes [Pure number fraction] in Pericardial fluid by Manual count,
10324,56191-0,Cherry IgG4 Ab [Mass/volume] in Serum,
10325,30513-6,Pregnanetriolone/Creatinine [Mass Ratio] in Urine,
10326,13617-6,Deprecated Prostaglandin D2 [Mass/volume] in Serum or Plasma,
10327,52049-4,Manual wheelchair,
10328,5731-5,Silicate [Mass/volume] in Urine,
10329,56412-0,Venison IgG4 Ab [Mass/volume] in Serum,
10330,53420-6,Fibroblast growth factor 23.intact [Mass/volume] in Plasma by Immunoassay --2nd specimen post XXX challenge,
10331,28833-2,Cylinder N 1 Glasses prescription.lens - right,
10332,29609-5,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe and signal amplification method,
10333,60316-7,Methaqualone [Moles/volume] in Unspecified specimen,
10334,70213-4,Nordiazepam [Moles/volume] in Urine by Confirmatory method,
10335,19552-9,Methadone cutoff [Mass/volume] in Urine for Screen method,
10336,30366-9,Metamyelocytes/100 leukocytes in Cerebral spinal fluid,
10337,1250-0,Major crossmatch [interpretation],
10338,34614-8,Spermatozoa IgM Ab [Units/volume] in Cervical mucus,
10339,50579-2,Gastric analysis panel - Gastric fluid,
10340,69669-0,Population stratification description Narrative,
10341,54655-6,Responsible staff or provider was informed of potential for resident self harm [MDSv3],
10342,72463-3,AM-2201 4-hydroxypentyl (synthetic cannabinoid metabolite) [Presence] in Urine by Confirmatory method,
10343,10785-4,Microscopic observation [Identifier] in Tissue by Fite-Faraco stain,
10344,7470-8,Llama fur IgE Ab [Units/volume] in Serum,
10345,63535-9,DNA double strand IgG Ab [Units/volume] in Cerebral spinal fluid,
10346,57986-2,Insulin-like growth factor [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,
10347,18137-0,Left ventricular Minor axis.papillary level.diastole [Area] by US 2D,
10348,23232-2,Mite identified in Skin by Flotation,
10349,25512-5,Protoporphyrin [Moles/time] in 24 hour Stool,
10350,4730-8,HLA-A2 [Presence] in donor,
10351,61156-6,Hepatitis B virus codon V173L [Presence] by Genotype method,
10352,64322-1,Kidney transplant center patients who received at least one kidney transplant and enrolled in Medicare population #,
10353,6959-1,Yersinia enterocolitica O3 Ab [Titer] in Serum,
10354,21163-1,Deprecated CD38 cells/100 cells in Unspecified specimen,
10355,33983-8,U1 small nuclear ribonucleoprotein IgG Ab [Units/volume] in Serum,
10356,34200-6,Nucleated erythrocytes [Presence] in Blood by Automated count,
10357,67584-3,Have you ever been unfairly denied a bank loan [PhenX],
10358,52664-0,Sit to lying during 2 day assessment period [CARE],
10359,41478-9,Bartonella henselae IgG and IgM panel - Serum,
10360,11144-3,Homovanillate [Mass/volume] in Urine,
10361,1021-5,E Ag [Presence] on Red Blood Cells,
10362,23429-4,Salmonella gallinarum Ab [Presence] in Serum by Agglutination,
10363,5128-4,Neutrophil cytoplasmic Ab [Units/volume] in Serum,
10364,56300-7,Lepidoglyphus destructor IgG4 Ab [Mass/volume] in Serum,
10365,53434-7,Carnitine palmitoyltransferase 2 [Enzymatic activity/mass] in Amniotic fluid cells,
10366,13494-0,Volume of 4 hour Dialysis fluid,
10367,45296-1,Cortisol [Moles/volume] in Serum or Plasma --pre dose dexamethasone,
10368,45435-5,None of the listed cycle of daily events [Minimum Data Set],
10369,8307-1,Body height --pre surgery,
10370,49237-1,Patient symptoms [interpretation] Narrative--2 hours post dose lactose PO,
10371,32457-4,Physical findings of Nasal septum,
10372,22536-7,Schistosoma mansoni Ab [Presence] in Serum,
10373,25513-3,Renin [Enzymatic activity/volume] in Plasma --1st specimen post XXX challenge,
10374,71465-9,Date prescription changed Medication,
10375,7980-6,Parainfluenza virus 3 Ab [Units/volume] in Serum,
10376,74904-4,Dopamine [Moles/volume] in Cerebral spinal fluid,
10377,2974-4,Sucrose [Mass/volume] in Unspecified specimen,
10378,73295-8,Lorazepam induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10379,62018-7,I had a hard time concentrating because of poor sleep in past 7 days [PROMIS],
10380,5669-7,Isopropanol [Mass/volume] in Serum or Plasma,
10381,33791-5,Calcium [Moles/volume] in Urine --5th specimen post XXX challenge,
10382,52973-5,Bacteria identified in Sputum tracheal aspirate by Culture,
10383,26644-5,Getah virus Ab [Presence] in Serum,
10384,53975-9,Drug crystals [Presence] in Urine sediment by Light microscopy,
10385,65686-8,Does your difficulty with insomnia occur at the same time as any of these events or conditions [PhenX],
10386,7379-1,Wheat grass IgG Ab [Units/volume] in Serum,
10387,59654-4,Diazepam [Mass/volume] in Blood,
10388,61077-4,Fentanyl [Presence] in Gastric fluid,
10389,20931-2,Parasites [#/volume] in Gastric fluid,
10390,6136-6,Hazelnut IgE Ab [Units/volume] in Serum,
10391,1446-4,Cortisol [Mass/volume] in Serum or Plasma --pre 3 g metyrapone PO overnight,
10392,72462-5,JWH-200 4-hydroxyindole (synthetic cannabinoid metabolite) [Presence] in Urine by Confirmatory method,
10393,22042-6,Hormone treatment Cancer Narrative,
10394,2688-0,Orotidine-5'-Phosphate decarboxylase [Enzymatic activity/volume] in Serum,
10395,33079-5,Gestational age estimated from Biparietal diameter by method of Australian Society of Ultrasound Medicine 1989 (US),
10396,15909-5,Parrot serum proteins IgE Ab RAST class [Presence] in Serum,
10397,32678-5,Ehrlichia chaffeensis IgG Ab [Presence] in Cerebral spinal fluid,
10398,49017-7,Respiratory allergen panel and/or US - North Atlantic states c - Serum,
10399,59782-3,Number of doses in primary immunization series,
10400,35158-5,Myristoleate (C14:1) [Moles/volume] in Serum or Plasma,
10401,49182-9,Coxiella burnetii phase 2 IgM Ab [Titer] in Body fluid,
10402,45230-0,District where patient entered HIV treatment,
10403,70796-8,I have been upset about these problems in the past 7 days [FACIT],
10404,14558-1,Mycobacterium tuberculosis DNA [Presence] in Gastric fluid by Probe and target amplification method,
10405,3517-0,Cyclacillin [Mass/volume] in Serum or Plasma,
10406,73067-1,Amiodarone induced neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10407,18382-2,Dry weight [Mass/time] of 24 hour Stool,
10408,12067-5,Fetal Head Third Ventricle Study observation US,
10409,3305-0,Acetylsalicylate [Presence] in Serum or Plasma,
10410,74492-0,PAX5 and CD43 Ag [Identifier] in Tissue by Immune stain,
10411,27233-6,Lecithin [Units/volume] in Amniotic fluid,
10412,27605-5,Occupational therapy treatment plan and/or Signature date Date and time,
10413,20169-9,Deprecated Circulatory system Acceleration by US.doppler,
10414,57049-9,Care management,
10415,42818-5,CD38+ Lambda+ cells/100 cells in Blood,
10416,70112-8,Skin conditions - Long term care hospital [CARE],
10417,38386-9,Color of Amniotic fluid,
10418,50511-5,Lutropin [Units/volume] in Serum or Plasma --3rd specimen,
10419,34273-3,Copper [Moles/volume] in Urine,
10420,60077-5,Ganciclovir [Mass/volume] in Blood,
10421,73349-3,Hydrocodone induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10422,19396-1,Chlorpromazine [Presence] in Urine by Confirmatory method,
10423,39289-4,Follow-up (referred to) provider /specialist and/or appointment date CPHS,
10424,53681-3,Fetal Foot - right [Length] US,
10425,1574-3,17-Ketogenic steroids [Mass/time] in 24 hour Urine --24 hours post 40 ug corticotropin IM BID 3 day,
10426,22806-4,Infectious bronchitis virus Ag [Presence] in Tissue by Immune stain,
10427,24320-4,Basic metabolic 1998 panel - Serum or Plasma,
10428,19779-8,Procedure Endoscopy,
10429,74870-7,IgM.kappa/IgM.lambda [Mass Ratio] in Serum or Plasma,
10430,72310-6,NPM1 gene.c.960insCATG transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method,
10431,15547-3,Asparagus IgE Ab RAST class [Presence] in Serum,
10432,44577-5,Influenza virus B Ag [Presence] in Nose,
10433,17389-8,Ornithine [Presence] in Urine,
10434,25905-1,D-Lactate [Moles/volume] in Serum or Plasma --Pre excercise,
10435,12790-2,Oxalate [Mass/volume] in Urine --2nd specimen post XXX challenge,
10436,59126-3,Pulmonary valve B-C slope [Velocity] by US,
10437,59160-2,Cannabinoids [Mass/mass] in Hair,
10438,56293-4,Italian Cypress IgG4 Ab [Mass/volume] in Serum,
10439,62114-4,I was too tired to read in past 7 days [PROMIS],
10440,40900-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Tissue,
10441,65054-9,Your child frequently gets so strongly absorbed in one thing that your child loses sight of other things [PhenX],
10442,9979-6,QRS terminal amplitude in lead V1,
10443,25873-1,Calcium [Moles/volume] in Urine --pre 500 mg calcium PO,
10444,34452-3,Jamestown canyon virus RNA [Presence] in Blood by Probe and target amplification method,
10445,73255-2,Moxifloxacin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10446,65162-0,I see myself as someone who tends to be disorganized [PhenX],
10447,34948-0,Measles virus IgG and IgM panel - Serum,
10448,35514-9,Clinical trial protocol Subject selection and withdrawal section,
10449,12592-2,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,
10450,64691-9,Over the past 4W how often have you felt sexual desire [PhenX],
10451,20943-7,Bovine respiratory syncytial virus Ag [Presence] in Lung by Immune stain,
10452,67605-6,People in this neighborhood can be trusted [PhenX],
10453,4043-6,Teicoplanin [Mass/volume] in Serum or Plasma,
10454,5925-3,Gastric acid [Volume] in Gastric fluid,
10455,27891-1,Thyroxine (T4) [Mass/volume] in Serum or Plasma --baseline,
10456,68611-3,Adolescent medicine Diagnostic study note,
10457,9696-6,8-Hydroxyloxapine [Mass/volume] in Serum or Plasma,
10458,64512-7,Does your child have growing pains - unexplained leg pains [PhenX],
10459,41734-5,Dalbavancin [Susceptibility],
10460,64961-6,Apple recombinant (rMal d) 1 IgE Ab [Units/volume] in Serum,
10461,11447-0,Physical findings of Hematologic and Lymphatic and Immunologic System Narrative,
10462,12157-4,Ultrasonographer gravidity number,
10463,40898-9,CD3+CD4+ (T4 helper) cells [#/volume] in Tissue,
10464,44836-5,5-Hydroxymethyl-2-Furoate [Presence] in Urine,
10465,45309-2,Hexacarboxylate [Moles/mass] in Stool,
10466,70170-6,Nucleated erythrocytes/100 cells in Pleural fluid,
10467,38403-2,Cyclospora sp Ag [Presence] in Stool by Immunoassay,
10468,66612-3,Cerebrovascular accident [Reported],
10469,70593-9,During the use of tube feeding and/or I can eat and drink by mouth in the past 7 days [FACIT],
10470,58652-9,Cortisol [Mass/volume] in Saliva (oral fluid) --1 hour post 1 ug/kg CRH IV,
10471,71792-6,Procollagen peptide.type 3 N-Terminal [Mass/volume] in Serum,
10472,30989-8,Sardine (Sardinops melanosticta) IgE Ab [Units/volume] in Serum,
10473,73897-1,Chronic lyme disease panel - Blood by Flow cytometry (FC),
10474,7700-8,Shrimp IgG Ab [Units/volume] in Serum,
10475,29448-8,Mitral valve Effective regurgitant orifice [Area] by Ultrasound.doppler.PISA,
10476,74934-1,Fluphenazine [Mass/volume] in Serum or Plasma --trough,
10477,3846-3,Naproxen [Mass/volume] in Serum or Plasma,
10478,25244-5,Ceftriaxone [Mass/volume] in Unspecified specimen,
10479,38764-7,Eastern equine encephalitis virus IgG Ab [Units/volume] in Unspecified specimen,
10480,30316-4,Alpha subunit free [Mass/volume] in Serum or Plasma,
10481,30911-2,DNA ploidy [Identifier] in Unspecified specimen by Flow cytometry (FC) Nominal,
10482,18966-2,Penicillin V [Susceptibility],
10483,65101-8,Does your child come up to you spontaneously for a chat [PhenX],
10484,6339-6,Chlamydophila psittaci Ag [Presence] in Genital specimen by Immunofluorescence,
10485,15244-7,Food Allergen Mix 13 (Carrot+White bean+Peas+Potato) IgE Ab [Presence] in Serum by Multidisk,
10486,51431-5,Gastrin [Mass/volume] in Serum or Plasma --pre or post XXX challenge,
10487,8921-9,Pulse wave form Femoral artery - right by US.doppler,
10488,12948-6,Thyrotropin [Units/volume] in Serum or Plasma --9th specimen post XXX challenge,
10489,52518-8,Level of independence on longest distance wheeled,
10490,70885-9,Additional concerns - FACT-O [FACIT],
10491,13139-1,Streptococcus pneumoniae 1 Ab [Units/volume] in Serum --1st specimen,
10492,43261-7,FEV1 --5 minutes post exercise,
10493,63831-2,Has there been renovation or repairs in your workspace because of moisture damage [PhenX],
10494,53073-3,Ceruloplasmin [Moles/volume] in Cerebral spinal fluid,
10495,48946-8,Cocaethylene [Mass/volume] in Unspecified specimen,
10496,5182-1,Hepatitis A virus IgM Ab [Units/volume] in Serum by Radioimmunoassay (RIA),
10497,5340-5,Salmonella paratyphi A O Ab [Presence] in Serum by Latex agglutination,
10498,56142-3,MPL gene p.W515L+W515K [Presence] in Blood or Tissue by Molecular genetics method,
10499,55018-6,Influenza vaccine,
10500,20241-6,Left ventricular Apical plane systole [Area] by US 2D,
10501,57045-7,Cardiac status,
10502,54799-2,Thyroid disorder in last 7 days [MDSv3],
10503,26041-4,Normephenytoin [Moles/volume] in Serum or Plasma,
10504,16678-5,Coxiella burnetii IgM Ab [Units/volume] in Serum,
10505,3590-7,Enoxacin [Mass/volume] in Serum or Plasma,
10506,10704-5,Ova and parasites identified in Stool by Light microscopy,
10507,6248-9,Soybean IgE Ab [Units/volume] in Serum,
10508,20644-1,Glycine [Moles/volume] in Serum or Plasma,
10509,47244-9,Symptom and/or diagnosis and/or or opportunistic infection related to HIV treatment,
10510,47692-9,Lysine/Amino acids.total in Amniotic fluid,
10511,70152-4,Triiodothyronine (T3)/Thyroxine (T4) [Mass Ratio] in Serum or Plasma,
10512,68003-3,Lately my life had meaning [NeuroQol],
10513,26874-8,Follitropin.beta subunit [Mass/volume] in Serum or Plasma,
10514,54124-3,Birth date family member,
10515,72144-9,Post-natal maternal vital status [RHEA],
10516,73395-6,Erythromycin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
10517,31986-3,Vesicular stomatitis virus Ag [Presence] in Throat,
10518,6552-4,Streptococcus pneumoniae Ab [Presence] in Serum by Immunoassay,
10519,8034-1,Strongyloides sp Ab [Units/volume] in Serum,
10520,28093-3,Dressing/grooming deficit [CCC],
10521,8333-7,Body temperature - Tympanic membrane,
10522,19380-5,Butorphanol cutoff [Mass/volume] in Urine for Confirmatory method,
10523,6619-1,Acanthamoeba sp Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,
10524,25267-6,Penicillin [Mass/volume] in Unspecified specimen,
10525,52238-3,Medical social services treatment plan and/or Mental status (narrative),
10526,51756-5,ATP7B gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
10527,20603-7,CD38 cells/100 cells in Unspecified specimen,
10528,69568-4,Bacterial vaginosis [interpretation] in Vaginal fluid Qualitative,
10529,2498-4,Iron [Mass/volume] in Serum or Plasma,
10530,2800-1,Deprecated Glucose phosphate isomerase [Enzymatic activity/volume] in Serum,
10531,41095-1,L1CAM gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10532,41409-4,Ofloxacin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria,
10533,50822-6,Beryllium [Moles/time] in 24 hour Urine,
10534,41287-4,Epithelial cells.parabasal [Presence] in Vaginal fluid by Light microscopy,
10535,18260-0,Zinc [Units/mass] in Tissue Qualitative,
10536,50938-0,Vancomycin [Moles/volume] in Body fluid,
10537,7552-3,Oregano IgE Ab [Units/volume] in Serum,
10538,35532-1,Chicken IgG Ab [Mass/volume] in Serum,
10539,51668-2,Streptococcus pneumoniae DNA+Haemophilus influenza DNA+Pseudomonas aeruginosa DNA [Identifier] in Unspecified specimen by Probe and target amplification method,
10540,66743-6,CYP2C19 gene.c.IVS5+2T>A(*7) [Presence] in Blood or Tissue by Molecular genetics method,
10541,49361-9,Hepatitis B virus DNA [Log #/volume] (viral load) in Tissue by Probe and target amplification method,
10542,27248-4,Benzoylecgonine [Mass/mass] in Stool,
10543,11366-2,History of tobacco use Narrative,
10544,43371-4,Salmonella sp/Shigella sp identified in Stool by Organism specific culture,
10545,23200-9,Leptospira sp IgG Ab [Presence] in Serum,
10546,74007-6,CYP3A4 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
10547,13947-7,Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay,
10548,57085-3,Organic acid newborn screen panel,
10549,21665-5,EGFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10550,74738-6,Streptococcus anginosus group gyrB gene [Presence] in Positive blood culture by Probe following nucleic acid capture,
10551,3001-5,Thiocyanate [Mass/volume] in Blood,
10552,4814-0,HLA-B17 [Presence] in donor,
10553,73793-2,Signal quality Blood Postductal Pulse oximetry,
10554,63022-8,PhenX - family interpersonal relationships protocol,
10555,20749-8,Carbamates [Presence] in Feed by Screen method,
10556,28507-2,Substance Use Behavior Family [OMAHA],
10557,64171-2,Do you ever have to stop for breath after walking about 100 yards and/or or after a few Ms and/or on the level [PhenX],
10558,64151-4,Do you usually bring up phlegm from your chest [PhenX],
10559,4262-2,Flupenthixol [Mass] of Dose,
10560,56745-3,PL-12 Ab [Presence] in Serum by Immunoblot (IB),
10561,48864-3,Bartonella sp DNA [Presence] in Unspecified specimen by Probe and target amplification method,
10562,67335-0,Does your tinnitus make you upset [PhenX],
10563,34941-5,Bordetella pertussis IgG and IgM panel - Serum,
10564,26678-3,Bartonella elizabethae Ab [Presence] in Serum,
10565,26894-6,Glutamine [Moles/volume] in Amniotic fluid,
10566,2678-1,Ornithine [Presence] in Serum or Plasma,
10567,32630-6,MSH2 gene+MLH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
10568,33695-8,Clostridium botulinum [Presence] in Isolate by Organism specific culture,
10569,54482-5,Dicarboxystearoylcarnitine (C18-DC) [Moles/volume] in Cerebral spinal fluid,
10570,61915-5,I had trouble controlling my temper in past 7 days [PROMIS],
10571,6803-1,HLA-DR15 [Presence],
10572,51940-5,Escherichia coli shiga toxin 1 Ag [Presence] in Stool by Immunoassay,
