id,code,description
6669,51670-8,17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma --baseline,
6670,29621-0,3-Hydroxyadipate [Presence] in Urine,
6671,56608-3,11-Deoxycorticosterone [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,
6672,19137-9,Neuronal nuclear Ab [Units/volume] in Serum by Immunoblot (IB),
6673,37472-8,Hand - left X-ray Bora,
6674,64319-7,Part time dietitian staff positions vacant at end of period population #,
6675,24099-4,Sialidase [Enzymatic activity/mass] in Fibroblast,
6676,62518-6,PhenX - environmental exposures - residential history protocol,
6677,71941-9,Kansas City cardiomyopathy questionnaire [KCCQ],
6678,30403-0,Leukocytes [#/volume] in Pericardial fluid,
6679,20469-3,Acetone [Presence] in Serum or Plasma by Screen method,
6680,28711-0,Visual acuity distance.binocular Eye Phoropter,
6681,35340-9,ASPA gene p.Y231X [Presence] in Blood or Tissue by Molecular genetics method,
6682,51787-0,Blastomyces dermatitidis Ab [Titer] in Serum by Immune diffusion (ID),
6683,35599-0,Carbamazepine [Mass/volume] in Serum or Plasma by Screen method,
6684,9496-1,Brucella canis IgM Ab [Units/volume] in Serum by Immunoassay,
6685,28004-0,HIV 1 IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),
6686,46859-5,Physical Activity Knowledge Community [OMAHA],
6687,71160-6,I feel like I am getting better in the past 7 days [FACIT],
6688,69313-5,Tibia - left and Fibula - left X-ray Single view,
6689,40431-9,Osmotic fragility [interpretation] of Red Blood Cells from control--fresh,
6690,30044-2,Dirofilaria immitis Ab [Titer] in Serum,
6691,22490-7,Rickettsia typhi IgM Ab [Titer] in Serum,
6692,50549-5,Deprecated Cytomegalovirus+Epstein Barr virus DNA [Identifier] in Unspecified specimen by Probe and target amplification method,
6693,54494-0,Chloride [Mass/volume] in Water,
6694,13115-1,Deprecated Neuronal nuclear type 1 Ab,
6695,39550-9,Horse dander IgE Ab [Ratio] in Serum,
6696,35784-8,Cephalexin [Susceptibility] by Gradient strip (E-test),
6697,7852-7,Cytomegalovirus IgG Ab [Units/volume] in Serum,
6698,39225-8,Gonorrhea screen test status CPHS,
6699,15700-8,Epicoccum purpurascens IgE Ab RAST class [Presence] in Serum,
6700,44931-4,Prolactin [Units/volume] in Serum or Plasma --pre dose TRH IV,
6701,70389-2,I have discomfort or pain when I eat in the past 7 days [FACIT],
6702,60721-8,Rolling: elicited from the arms (left) [TIMP],
6703,45006-4,Chlamydia trachomatis IgA Ab [Units/volume] in Serum by Immunoassay,
6704,30291-9,Efavirenz [Susceptibility] by Genotype method,
6705,14414-7,Aspartate aminotransferase [Enzymatic activity/volume] in Dialysis fluid,
6706,4720-9,HLA-A23(9) [Presence],
6707,43696-4,Herpes simplex virus identified in Cerebral spinal fluid by Shell vial culture,
6708,66003-5,Persecutory delusions [PhenX],
6709,41217-1,Yellow fever virus IgG Ab [Presence] in Serum,
6710,6878-3,Coproporphyrin 3 [Mass/time] in 24 hour Urine,
6711,23884-0,Interleukin 2 receptor [Presence] in Tissue by Immunocytochemical assay,
6712,70373-6,I wake at night because of coughing in the past 7 days [FACIT],
6713,29197-1,Speech therapy treatment plan or Medication route Identifier,
6714,41504-2,Norfloxacin [Susceptibility] by Method for Slow-growing mycobacteria,
6715,21398-3,Mononuclear cells [#/volume] in Synovial fluid by Manual count,
6716,57869-0,Phencyclidine [Moles/volume] in Unspecified specimen,
6717,31055-7,Coxsackievirus B3 Ab [Titer] in Body fluid by Complement fixation,
6718,22130-9,Borrelia burgdorferi IgG Ab [Titer] in Serum,
6719,10301-0,Enteral tube Vendor serial number,
6720,44843-1,Bacteria # 2 identified in Unspecified specimen by Anaerobe culture,
6721,6028-5,Deprecated Aureobasidium pullulans IgE Ab [Units/volume] in Serum,
6722,3926-3,Pentobarbital [Mass/volume] in Urine,
6723,17741-0,Trichlorophenoxyacetate [Mass/volume] in Serum or Plasma,
6724,16100-0,Rifabutin [Susceptibility] by Minimum inhibitory concentration (MIC),
6725,35128-8,Perforin [Units/volume] in Leukocytes,
6726,62124-3,I could get into bed by myself in past 7 days [PROMIS],
6727,44763-1,Native inferior vena cava liver graft attachment,
6728,29676-4,Dengue virus IgG Ab [Presence] in Serum,
6729,59810-2,Caffeine [Moles/volume] in Serum --trough,
6730,9949-9,QRS duration in lead AVF,
6731,44986-8,Chlamydia trachomatis G+F+K IgM Ab [Presence] in Serum,
6732,51232-7,CD11c cells/100 cells in Body fluid,
6733,56970-7,Porphyrins [Mass/volume] in 24 hour Urine,
6734,65098-6,Your child is a good diplomat [PhenX],
6735,21722-4,OTC gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,
6736,67587-6,You have been treated with less respect than other people [PhenX],
6737,19415-9,Tetrahydrocannabinol [Presence] in Urine by Screen method,
6738,34496-0,Chromosome 7 uniparental disomy [Presence] in Blood or Tissue by Cytogenetics,
6739,12193-9,Creatinine [Mass/volume] in Peritoneal fluid --4 hours post peritoneal dialysis,
6740,45173-2,Thyrotropin.alpha subunit [Mass/volume] in Serum or Plasma,
6741,15252-0,Food Allergen Mix 22 (Cashew+Pecan or Hickory nut+Walnut+Pistachio) IgE Ab [Presence] in Serum by Multidisk,
6742,54382-7,Cytochrome C oxidase [Enzymatic activity/mass] in Amniotic fluid cells,
6743,68120-5,How much difficulty do you currently have carrying on a conversation with a small group of familiar people or like family or a few friends [NeuroQol],
6744,9723-8,Spermatozoa IgA Ab [Units/volume] in Serum,
6745,30645-6,Superior vena cava Fluoroscopic angiogram W contrast IV,
6746,16789-0,Dopamine [Mass/volume] in Urine --7th specimen post XXX challenge,
6747,6630-8,Schistosoma sp Ab [Presence] in Serum by Hemagglutination,
6748,57215-6,Vision [OASIS-C],
6749,56715-6,Bacteria identified in Pericardial fluid by Culture,
6750,17398-9,Human papilloma virus 11 Ag [Presence] in Unspecified specimen,
6751,5629-1,Copper [Mass/mass] in Hair,
6752,62549-1,PhenX - alcohol - maximum drinks in 24 hours protocol,
6753,43358-1,UNC13D gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
6754,64715-6,During the 3 months before you got pregnant or how many times did you drink 4 alcoholic drinks or more in one sitting [PhenX],
6755,31492-2,Lymphocytic choriomeningitis virus IgG Ab [Units/volume] in Cerebral spinal fluid,
6756,70456-9,I am bothered by the amount of swelling in the past 7 days [FACIT],
6757,70874-3,Additional concerns - FACT-E [FACIT],
6758,3849-7,Netilmicin [Mass/volume] in Serum or Plasma --random,
6759,13884-2,Estradiol (E2).bioavailable [Mass/volume] in Serum or Plasma,
6760,143-8,Ceftriaxone [Susceptibility] by Serum bactericidal titer,
6761,46253-1,Bordetella pertussis filamentous hemagglutinin IgG Ab [Units/volume] in Serum by Immunofluorescence,
6762,51748-2,Purkinje cells type Tr Ab [Titer] in Cerebral spinal fluid,
6763,61442-0,Each time you ate cheese or how much did you usually eat in the past 30 days [PhenX],
6764,23472-4,Theileria mutans rRNA [Presence] in Serum by DNA probe,
6765,35890-3,Fluoroscopy Guidance for biopsy of Abdomen,
6766,15645-5,Clover IgE Ab RAST class [Presence] in Serum,
6767,64561-4,Did any difficulties with breathing occur before or during or or after surgery [PhenX],
6768,27671-7,Physical therapy treatment plan or Date range (from/through) described by plan Set,
6769,35918-2,CT Guidance for drainage of Kidney,
6770,66357-5,Many shops or stores or markets or or other places to buy things I need are within easy walking distance of my home [PhenX],
6771,22745-4,Ethanol [Moles/volume] in Urine,
6772,19603-0,Morphine Free cutoff [Mass/volume] in Urine for Screen method,
6773,59071-1,Tropheryma whippelii Ab [Presence] in Serum,
6774,74043-1,Alcohol abuse or dependence HL7.VMR-CDS,
6775,67665-0,EMS scene Narrative NEMSIS,
6776,14314-9,Benzoylecgonine [Presence] in Urine by Screen method,
6777,58851-7,Testosterone [Mass/volume] in Serum or Plasma --3 days post XXX challenge,
6778,20720-9,Brucella abortus Ab [Presence] in Milk by Serial ring agglutination,
6779,46048-5,Type of ulcer Set,
6780,22056-6,Deprecated Special use battery,
6781,45244-1,Percent HIV ART medication dose number taken/Medication dose number prescribed - Reported,
6782,24784-1,Kidney - bilateral X-ray tomograph W and WO contrast IV,
6783,11891-9,Gestational age estimated from Abdominal circumference by method of Hadlock 1982 (US),
6784,35324-3,PMP22 gene allele 1 [Presence] in Blood or Tissue by Molecular genetics method,
6785,46429-7,Alpha 1 antitrypsin [Mass/mass] in 24 hour Stool,
6786,66468-0,Which of the following drugs have you injected using a needle [PhenX],
6787,1822-6,Alpha thymosin [Mass/volume] in Serum,
6788,34151-1,CD10+CD25+ cells [#/volume] in Blood,
6789,55476-6,Estradiol (E2) [Moles/volume] in Serum or Plasma --baseline,
6790,3062-7,Trypsin [Enzymatic activity/time] in 24 hour Stool,
6791,68381-3,pH of Synovial fluid by Test strip,
6792,33029-0,CD3+TCR cells/100 cells in Blood,
6793,41120-7,ALDOB gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
6794,70839-6,I must urinate frequently to avoid leaking in the past 7 days [FACIT],
6795,6693-6,Mercury [Mass/time] in 24 hour Urine,
6796,65110-9,Can your child keep a two-way conversation going [PhenX],
6797,50574-3,FDA product label OTC Type B medicated feed animal drug label,
6798,45912-3,Dental care trigger [Minimum Data Set],
6799,7951-7,Legionella pneumophila 4 Ab [Titer] in Serum by Immunofluorescence,
6800,1908-3,Asparagine [Mass/volume] in Serum or Plasma,
6801,52502-2,Impairments,
6802,47208-4,Arginine [Mass] of Dose,
6803,67861-5,Ophthalmology Postoperative evaluation and management note,
6804,52548-5,Prior functioning.mobility - wheelchair [CARE],
6805,9822-8,Bacteria identified in Dialysis fluid by Culture,
6806,21677-0,FGFR3 gene p.G375C [Presence] in Blood or Tissue by Molecular genetics method,
6807,42361-6,Streptococcus pneumoniae 12 IgG panel [Mass/volume] - Serum,
6808,12997-3,1,4-Dioxane [Mass/volume] in Serum or Plasma,
6809,16037-4,Tyrophagus putrescentiae IgE Ab RAST class [Presence] in Serum,
6810,24284-2,La Crosse virus Ab [Titer] in Serum --2nd specimen,
6811,43058-7,Chlamydia trachomatis D+K IgM Ab [Titer] in Serum,
6812,74064-7,Medication or substance contraindication - potential or actual interaction [AHRQ],
6813,70654-9,I feel motivated to do things in the past 7 days [FACIT],
6814,66226-2,Which hand [PhenX],
6815,60534-5,SARS coronavirus RNA [Presence] in Serum or Plasma by Probe and target amplification method,
6816,42015-8,Deprecated Spine Cervical X-ray fluoroscopy W contrast IT,
6817,58961-4,Ganglioside GT1b IgM Ab [Units/volume] in Serum by Immunoassay,
6818,32162-0,Cells [#/volume] in Pleural fluid by Manual count,
6819,4830-6,HLA-B40 [Presence] in donor,
6820,72032-6,Type non-oral vitamin D analog prescribed [ESRD],
6821,64967-3,Black Alder recombinant (rAln g) 1 IgE Ab [Units/volume] in Serum,
6822,36147-7,Pulmonary artery CT angiogram W contrast IV,
6823,71755-3,Anxiety score [M3],
6824,66640-4,I am a person who always gets the job done [UPPS],
6825,57255-2,Drug regimen review [OASIS-C],
6826,25134-8,Sebacate (C8)/Creatinine [Molar ratio] in Urine,
6827,44002-4,Choriogonadotropin [Multiple of the median] adjusted in Amniotic fluid,
6828,70729-9,I have trouble finishing things because I am tired in the past 7 days [FACIT],
6829,59629-6,Clobazam [Mass/volume] in Body fluid by Confirmatory method,
6830,17958-0,Bacteria # 3 identified in Body fluid by Anaerobe culture,
6831,67984-5,It was hard to control my behavior in the past 7 days [NeuroQol],
6832,39204-3,Orthopedic screen assessment Set CPHS,
6833,64408-8,Has your child had this itchy rash at any time in the last 12 months [PhenX],
6834,13029-4,Xylose [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,
6835,21926-1,Date 1st radiation treatment Cancer,
6836,74972-1,9-Hydroxyrisperidone [Mass/volume] in Serum or Plasma --trough,
6837,23546-5,Venezuelan equine encephalitis virus IgM Ab [Presence] in Serum,
6838,20388-5,Furacin.topical [Susceptibility],
6839,66837-6,Not including your spouse or partner or how often do members of your family make too many demands on you [PhenX],
6840,379-8,Oleandomycin [Susceptibility] by Minimum inhibitory concentration (MIC),
6841,70322-3,I have bone pain in the past 7 days [FACIT],
6842,71139-0,My thinking is slower than before in the past 7 days [FACIT],
6843,63833-8,Floor material in your workspace if other [PhenX],
6844,59748-4,Temazepam [Mass/volume] in Body fluid by Confirmatory method,
6845,15269-4,Tree Allergen Mix 9 (Grey alder+Silver birch+Hazelnut+White oak+Willow) IgE Ab [Presence] in Serum by Multidisk,
6846,65436-8,Have you ever had any unpleasant and persistent thoughts like that [PhenX],
6847,49735-4,FBN1 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
6848,1585-9,Lactose [Mass/volume] in Serum or Plasma --pre 12 hour fast,
6849,40597-7,7-Dehydrocholesterol [Presence] in Amniotic fluid,
6850,52725-9,Medical services received in the last 2 months [CARE],
6851,26137-0,Acromioclavicular joint - left X-ray,
6852,31772-7,Chlamydia trachomatis Ag [Presence] in Vaginal fluid,
6853,6798-3,Deprecated Metanephrines [Mass/time] in 24 hour Urine,
6854,12567-4,Cortisol [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,
6855,65450-9,Has your childs mood or energy shifted rapidly back and forth from happy to sad or high to low [PhenX],
6856,40899-7,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Tissue,
6857,47705-9,Methionine/Amino acids.total in Dried blood spot,
6858,9307-0,Insulin [Mass/volume] in Serum or Plasma --30 minutes post 75 g glucose PO,
6859,5965-9,Plasmin inhibitor [Units/volume] in Platelet poor plasma by Chromogenic method,
6860,40481-4,Methylenedioxymethamphetamine [Presence] in Unspecified specimen,
6861,60553-5,Trypanosoma cruzi Ab [Presence] in Serum from donor,
6862,50461-3,C peptide [Moles/volume] in Serum or Plasma --1st specimen,
6863,10275-6,Wound drain device Institution inventory number,
6864,36027-1,Upper arm - left CT,
6865,16557-1,Carnosine [Presence] in Urine,
6866,3376-1,Barbiturates [Presence] in Serum or Plasma or Blood,
6867,33000-1,Rickettsia spotted fever group IgM Ab [Presence] in Serum,
6868,18114-9,Pulmonic valve Regurgitation degree by US.doppler,
6869,58205-6,Other error requiring modification.other specified [MDSv3],
6870,43614-7,Adenovirus Ag [Presence] in Nose,
6871,53686-2,Fetal Neck Narrative Study observation US,
6872,63005-3,Deprecated PhenX measure - word decoding,
6873,22059-0,Deprecated Other confidential battery,
6874,10126-1,ST wave mid displacement in lead V3,
6875,28158-4,May choose to self-deliver at the end [Living with HIV],
6876,25642-0,Follitropin [Units/volume] in Serum or Plasma by 2nd IRP --1st specimen post XXX challenge,
6877,71472-5,Date of blood culture,
6878,61820-7,How hard was it for you to carry on a conversation because of your fatigue in past 7 days [PROMIS],
6879,1310-2,D NOS Ag [Presence] on Red Blood Cells from Blood product unit,
6880,48036-8,Glucose [Mass/volume] in Stool,
6881,71487-3,Optic disc or retinal nerve fiber layer structural abnormalities Eye - right Ophthalmoscopy,
6882,32508-4,CD3-CD16+CD56+ (Natural killer) cells/100 cells in Bone marrow,
6883,12152-5,Fetal Interventricular septum Thickness.systolic Measured by M-mode US,
6884,20976-7,Tritrichomonas foetus [Presence] in Preputial wash by Organism specific culture,
6885,46159-0,Bartonella sp IgM Ab [Units/volume] in Serum,
6886,52394-4,Speech therapy treatment plan or Date range certifying the plan of care DateRange,
6887,42145-3,Extremity vein - left US,
6888,43359-9,11-Ketoetiocholanolone [Mass/volume] in 24 hour Urine,
6889,6324-8,Brucella abortus Ab [Titer] in Serum by Agglutination,
6890,31437-7,Influenza virus A IgG Ab [Units/volume] in Serum,
6891,6420-4,Helicobacter pylori IgA Ab [Units/volume] in Serum by Immunoassay,
6892,10732-6,Trypanosoma sp identified in Blood by Thin film,
6893,7909-5,Herpes simplex virus 1 IgG Ab [Units/volume] in Serum,
6894,63863-5,Average hours per week you participated in strenuous exercise activities or sports like swimming laps or aerobics or calisthenics or running or jogging or basketball or cycling on hills or racquetball during this age range [PhenX],
6895,28434-9,Mental Health Knowledge Family [OMAHA],
6896,66256-9,Aids for the walk [PhenX],
6897,50534-7,Thyrotropin [Units/volume] in Serum or Plasma --2nd specimen,
6898,49420-3,Papova virus SV 40 DNA [#/volume] (viral load) in Bone marrow by Probe and target amplification method,
6899,39939-4,Joint Scan,
6900,12505-4,Cadmium [Mass/volume] in Red Blood Cells,
6901,13388-4,Asparagine [Mass/volume] in Amniotic fluid,
6902,55724-9,Apolipoprotein A-I and A-II and B and C panel [Mass/volume] - Serum or Plasma,
6903,31439-3,Insulin receptor Ab [Units/volume] in Serum,
6904,16451-7,Beryllium [Presence] in Urine,
6905,65610-8,How old were you the last time you experienced this insomnia or for at least 1 month [PhenX],
6906,40760-1,Coxsackievirus A Ab [Titer] in Cerebral spinal fluid --2nd specimen,
6907,57247-9,Current ability: locomotion [OASIS-C],
6908,27976-0,Lactate [Mass/volume] in Blood --fasting,
6909,20342-2,R-R interval by US --at tricuspid flow measurement,
6910,37663-2,Acromioclavicular joint - right X-ray W and WO weight,
6911,17884-8,Bacteria # 3 identified in Genital specimen by Aerobe culture,
6912,66747-7,Clotting time of Blood by Heparin protamine titration,
6913,15564-8,Green Bean IgE Ab RAST class [Presence] in Serum,
6914,53384-4,Powassan virus Ab [Presence] in Unspecified specimen,
6915,25678-4,Glucose [Mass/volume] in Urine --1.5 hours post dose glucose,
6916,32115-8,Theophylline [Moles/volume] in Serum or Plasma --peak,
6917,46464-4,Current payment sources for home care [OASIS],
6918,3447-0,Cefotetan [Mass/volume] in Serum or Plasma,
6919,31148-0,Heavy metals [Identifier] in Tissue,
6920,29395-1,Gastrin [Mass/volume] in Serum or Plasma --fasting,
6921,56366-8,Rabbit IgG4 Ab [Mass/volume] in Serum,
6922,32375-8,Cefmenoxime [Susceptibility],
6923,24336-0,Gas panel - Arterial blood,
6924,1956-2,Beta-N-acetylhexosaminidase.A [Enzymatic activity/volume] in Serum,
6925,56040-9,Methemoglobin [Moles/volume] in Blood,
6926,43321-9,Avian pneumovirus B Ab [Titer] in Serum by Immunoassay,
6927,64429-4,KIR gene allele 3DS1 [Presence] in Blood or Tissue by Molecular genetics method,
6928,42503-3,Hantavirus Ab [Presence] in Serum,
6929,10963-7,Spondylocladium citrovirens IgE Ab [Units/volume] in Serum,
6930,42933-2,CD79a cells/100 cells in Unspecified specimen,
6931,50737-6,Serotonin release.heparin.porcine panel - Serum,
6932,34137-0,Outpatient Surgical operation note,
6933,19888-7,Carbon dioxide/Gas.total.at end expiration in Exhaled gas by Infrared absorption,
6934,52209-4,Cardiac rehabilitation treatment plan or Functional status (narrative),
6935,75239-4,Albumin.ischemia modified [Units/volume] in Serum,
6936,60227-6,Hydrogen/Expired gas [Volume Fraction] in Exhaled gas --2 hours post dose fructose PO,
6937,73850-0,18-Beta glycyrrhetinate [Mass/volume] in Urine,
6938,55246-3,HBA2 gene c.84G>C [Presence] in Blood by Molecular genetics method,
6939,14143-2,Somatotropin [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,
6940,46259-8,Morphine Free [Presence] in Serum or Plasma by Screen method,
6941,1332-6,V Ag [Presence] on Red Blood Cells from Blood product unit,
6942,7598-6,Perch IgG Ab [Units/volume] in Serum,
6943,54064-1,HEDIS 2009 Tests used in early prenatal care - Toxoplasma (PPC-C),
6944,12516-1,Catecholamines [Mass/volume] in Urine --2nd specimen post XXX challenge,
6945,75068-7,Malate [Moles/volume] in Serum or Plasma,
6946,30687-8,Hip MRI WO contrast,
6947,63663-9,Have you ever used any of these medicines or drugs to feel good or high or or to feel more active or alert - or did you use any prescription drugs when they were not prescribed or or more than prescribed [PhenX],
6948,74512-5,Chemokine (C-C motif) ligand 18 [Mass/volume] in Serum,
6949,25098-5,Ethanolamine/Creatinine [Molar ratio] in Urine,
6950,51006-5,Direct antiglobulin test.unspecified reagent [Presence] on Red Blood Cells,
6951,5846-1,Herpes simplex virus 1 Ag [Presence] in Unspecified specimen by Immunofluorescence,
6952,48401-4,Herpes simplex virus 2 glycoprotein G IgG Ab [Units/volume] in Cerebral spinal fluid,
6953,22699-3,Alloisoleucine/Creatinine [Molar ratio] in Urine,
6954,68199-9,I was able to talk openly with my friends in the past 7 days [NeuroQol.Peds],
6955,45799-4,Other preventative or protective skin care other than to feet [Minimum Data Set],
6956,67322-8,Does your tinnitus make you angry [PhenX],
6957,8822-9,Right ventricular End diastolic [Volume] by Imaging,
6958,73267-7,Milrinone induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
6959,47577-2,Aspartate/Amino acids.total in Serum or Plasma,
6960,66466-4,Physical/Occupational therapy type [PhenX],
6961,14731-4,Folate [Moles/volume] in Red Blood Cells,
6962,72586-1,Beta globulin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis,
6963,66663-6,Significant tissue loss [PhenX],
6964,71594-6,Macrophages/Leukocytes [Pure number fraction] in Bronchial specimen by Manual count,
6965,39777-8,Urea [Moles/volume] in Serum or Plasma --pre dialysis,
6966,7167-0,Butterfly IgE Ab [Units/volume] in Serum,
6967,46624-3,Interacts appropriately with the general public [RFC],
6968,57025-9,Data criteria Narrative,
6969,25475-5,Methaqualone [Moles/volume] in Serum or Plasma,
6970,22311-5,Deprecated Helicobacter pylori Ab [Titer] in Serum,
6971,46633-4,Remarks [RFC],
6972,68637-8,Audiology History and physical note,
6973,12149-1,Fetal Interventricular septum Thickness diastolic Measured by real time two dimension US,
6974,17178-5,CD6 cells/100 cells in Blood,
6975,36426-5,Ankle - left CT WO contrast,
6976,52819-0,Nucleated cells [#/volume] in Pleural fluid by Automated count,
6977,63008-7,PhenX - personal and family history of hearing loss protocol,
6978,20007-1,Oxygen [Partial pressure] in minimum Capillary blood by Transcutaneous O2 monitor --on high flow oxygen and eating,
6979,47298-5,Corynebacterium diphtheriae Ab [Ratio] in Serum --2nd specimen/1st specimen,
6980,10206-1,Physical findings of Skin Narrative,
6981,246-9,Floxacillin [Susceptibility] by Disk diffusion (KB),
6982,25296-5,Streptococcus pneumoniae 51 IgG Ab [Mass/volume] in Serum,
6983,30956-7,Type [Identifier] Vaccine,
6984,6419-6,Helicobacter pylori Ab [Presence] in Serum by Immunofluorescence,
6985,8490-5,Systolic blood pressure 24 hour mean,
6986,26178-4,Femoral artery - bilateral Fluoroscopic angiogram runoff W contrast IA,
6987,34486-1,Avian paramyxovirus 1 RNA [Presence] in Unspecified specimen by Probe and target amplification method,
6988,72370-0,Area of identified wound bed appearance/Area of wound bed of Wound base,
6989,48923-7,Respiratory allergen panel or US - Greater Ohio valley b - Serum,
6990,58276-7,Ever had outpatient test(s) performed for deep vein thrombosis [Date and time],
6991,41641-2,Ricin toxin [Presence] in Unspecified specimen by Immunofluorescence,
6992,72734-7,Methadone [Mass/volume] in Saliva (oral fluid) by Screen method,
6993,19860-6,Total lung capacity by Chest xray.calculated,
6994,34617-1,Other Antibiotic [Mass/volume] in Unspecified specimen,
6995,26012-5,17-Hydroxycorticosteroids [Moles/time] in 24 hour Urine --1 day post XXX challenge,
6996,57068-9,Fetal Heart rate Auscultation,
6997,9388-0,Propylthiouracil [Mass/volume] in Serum or Plasma,
6998,34585-0,Inner Ear 68kD Ab [Presence] in Serum or Plasma,
6999,12777-9,Immunoglobulin light chains.kappa.free [Units/volume] in Urine,
7000,68427-4,Neutrophils [#/volume] in Vitreous fluid by Manual count,
7001,40347-7,MT-TL1 gene m.3256C>T [Presence] in Blood or Tissue by Molecular genetics method,
7002,42317-8,Foscarnet [Susceptibility] by Genotype method,
7003,15281-9,Horse Bot Fly IgE Ab [Units/volume] in Serum,
7004,20283-8,Pulmonary artery Deceleration [Time] by US,
7005,13695-2,Gamma aminobutyrate/Creatinine [Mass Ratio] in Urine,
7006,11025-4,Methadone [Mass/volume] in Meconium,
7007,5079-9,Chlamydophila psittaci Ab [Titer] in Serum by Complement fixation,
7008,62303-3,Lysosomal storage disorders newborn screening comment-discussion,
7009,54173-0,Arbekacin [Susceptibility] by Disk diffusion (KB),
7010,1555-2,Glucose [Mass/volume] in Urine --12 hours fasting,
7011,44980-1,Chlamydophila pneumoniae Ab [Presence] in Serum --1st specimen,
7012,18379-8,Urate [Mass/time] in 6 hour Urine,
7013,39021-1,Abnormal Prion Protein [Presence] in Tissue by Immunoassay,
7014,57134-9,Dentistry Referral note,
7015,67238-6,Have you had a cold or sinus problem or earache in the last 24 hours [PhenX],
7016,34510-8,SDHB gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
7017,48833-8,Respiratory allergen panel or US - Southwestern grassland states - Serum,
7018,29752-3,Perioperative records,
7019,72489-8,Androstenedione [Moles/volume] in Saliva (oral fluid),
7020,43780-6,Knee X-ray Sunrise,
7021,44216-0,Fluoroscopy Guidance for fine needle aspiration of Thyroid,
7022,59509-0,Date case completed.COC Cancer case,
7023,28903-3,Axis Contact lens - left,
7024,72127-4,Total score - Ages and Stages Questionnaires 10 months [ASQ],
7025,32-3,Ampicillin+Sulbactam [Susceptibility] by Minimum inhibitory concentration (MIC),
7026,19923-2,Expiratory reserve Predicted,
7027,23036-7,Duck hepatitis virus 2 Ab [Presence] in Serum,
7028,29032-0,YAG intensity Eye - right,
7029,47419-7,Varicella zoster virus Ab [Units/volume] in Serum by Immunoassay,
7030,38601-1,Hexane [Mass/volume] in Air,
7031,27078-5,Carotene.alpha [Moles/volume] in Plasma,
7032,52366-2,Skilled nursing treatment plan or Medication timing TQ2,
7033,23789-1,Vesicular stomatitis Indiana virus Ab [Titer] in Serum by Neutralization test,
7034,31612-5,Rift valley fever virus Ab [Units/volume] in Serum,
7035,57071-3,Obstetric delivery method,
7036,6250-5,Spiny Pigweed IgE Ab [Units/volume] in Serum,
7037,2694-8,Osmolality of 24 hour Urine,
7038,73578-7,Anion gap 4 in Venous blood,
7039,41795-6,Upper Gastrointestine and Small bowel Fluoroscopy W air contrast PO,
7040,14635-7,Calcidiol [Moles/volume] in Serum or Plasma,
7041,45018-9,Adenosine monophosphate.cyclic/Creatinine [Ratio] in Urine --6 hours post XXX challenge,
7042,53175-6,Octanoylcarnitine (C8) [Moles/volume] in Dried blood spot,
7043,64947-5,I have thoughts that I prefer not to have [PhenX],
7044,73882-3,Glycolate [Moles/volume] in 24 hour Urine,
7045,4658-1,Kallikrein Tissue type [Units/volume] in Plasma,
7046,64465-8,I have unpleasant side effects from my medication [PhenX],
7047,70455-1,I have swelling as a result of surgery in the past 7 days [FACIT],
7048,47497-3,Streptococcus pneumoniae 43 IgG Ab [Mass/volume] in Serum --1st specimen,
7049,8327-9,Body temperature measurement site,
7050,45745-7,Therapeutic diet [Minimum Data Set],
7051,20797-7,Endotoxin identified in Unspecified specimen,
7052,58253-6,Electrocardiograms recorded,
7053,11282-1,Cells Counted Total [#] in Blood,
7054,45724-2,Hip fracture in last 180 days [Minimum Data Set],
7055,3536-0,Norclomipramine [Mass/volume] in Serum or Plasma,
7056,30611-8,Liver CT WO contrast,
7057,51288-9,CD30 cells/100 cells in Cerebral spinal fluid,
7058,12784-5,Codeine Free [Mass/volume] in Serum or Plasma,
7059,47923-8,Somatotropin [Units/volume] in Serum or Plasma --4th specimen post XXX challenge,
7060,44194-9,Spine X-ray GE 4 views W right bending and W left bending,
7061,66018-3,Impairment or incapacity [PhenX],
7062,15933-5,Phthalic anhydride IgE Ab RAST class [Presence] in Serum,
7063,12366-1,Disopyramide [Presence] in Urine,
7064,65546-4,Problem related to diabetes [PhenX],
7065,40570-4,Blasts [#/volume] in Body fluid by Manual count,
7066,46900-7,Substance Use Behavior Community [OMAHA],
7067,58842-6,Somatotropin [Mass/volume] in Serum or Plasma --25th specimen,
7068,67765-8,HEDIS 2012 or 2013 Codes to identify physiologic monitoring tests (MPM-A),
7069,61102-0,Influenza virus A and B Ag [Identifier] in Unspecified specimen by Immunofluorescence,
